Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/lets-play-library-jouons-%C3%A0-la-biblio,Let's Play at the Library,Saturday,17-Jan-26,07-Mar-26,10:00,Rosemount,18 Rosemount,West - Nepean,Bilingual,Family,Kids
https://booking.biblioottawalibrary.ca/en/event/stay-and-play-jouons-%C3%A0-la-biblio-8,Stay and Play,Saturday,17-Jan-26,07-Mar-26,10:00,Sunnyside,1049 Bank,South - Alta Vista,Bilingual,"Baby, Child, Family",Social Connections
https://booking.biblioottawalibrary.ca/en/event/teen-exam-cram-16,Teen Exam Cram,Saturday,17-Jan-26,30-Jan-26,10:00,Carp,3911 Carp,West - Carp,English,Teen,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/teen-exam-cram-18,Teen Exam Cram,Saturday,17-Jan-26,31-Jan-26,10:00,Osgoode,5630 Osgoode Main,South - Osgoode,English,Teen,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/saturday-family-storytime-heure-du-conte-du-samedi-0,Saturday Family Storytime,Saturday,17-Jan-26,07-Mar-26,10:15,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,"Child, Family, Preschool",Family storytime
https://booking.biblioottawalibrary.ca/en/event/silly-saturday-storytime-2,Silly Saturday Storytime,Saturday,17-Jan-26,07-Mar-26,10:30,Beaverbrook,2500 Campeau,West - Kanata,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/saturday-bilingual-family-storytime-and-stay-%E2%80%98n%E2%80%99-play-heure-du-conte-bilingue-en-famille-du,Saturday bilingual Family Storytime  and Stay ‘n’ Play,Saturday,17-Jan-26,16-May-26,10:30,Rideau,377 Rideau,Central,Bilingual,"Family, Preschool, Toddler",Family storytime
https://booking.biblioottawalibrary.ca/en/event/saturday-family-storytime-winter-session,Saturday Family Storytime - Winter Session,Saturday,17-Jan-26,07-Mar-26,10:30,Hazeldean,50 Castlefrank,West - Kanata,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-followed-stay-play-contes-en-famille-suivi-de-jouons-%C3%A0-la-biblio,Family Storytime followed by Stay & Play,Saturday,17-Jan-26,28-Feb-26,10:30,St-Laurent,515 Côté,East - Vanier,Bilingual,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/saturday-storytime-stay-and-play-3,Saturday Storytime Stay and Play,Saturday,17-Jan-26,07-Mar-26,10:30,Stittsville,1637 Stittsville Main,West - Stittsville,English,Child,Storytime
https://booking.biblioottawalibrary.ca/en/event/saturday-family-storytime-86,Saturday Family Storytime,Saturday,17-Jan-26,07-Mar-26,10:30,Carlingwood,281 Woodroffe,West - Nepean,English,"Child, Family, Preschool",Family storytime
https://booking.biblioottawalibrary.ca/en/event/saturday-storytime-16,Saturday Storytime,Saturday,17-Jan-26,07-Mar-26,10:30,Richmond,6240 Perth Street,West - Richmond,English,Family,"Kids, Storytime"
https://booking.biblioottawalibrary.ca/en/event/teen-exam-cram-p%C3%A9riode-d%E2%80%99%C3%A9tudes-pour-ados,Teen Exam Cram,Saturday,17-Jan-26,28-Jan-26,10:30,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,Teen,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/sensory-storytime-contes-sensoriels-6,Sensory Storytime,Saturday,17-Jan-26,25-Apr-26,10:30,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Preschool, Toddler","Kids, Social Connections, Storytime"
https://booking.biblioottawalibrary.ca/en/event/sphero-bolt,Sphero BOLT,Saturday,17-Jan-26,28-Feb-26,10:30,Orléans,1705 Orléans,East - Orleans,Bilingual,"Family, Teen","Computers and technology, Games and Gaming, Science and Discovery, STEM"
https://booking.biblioottawalibrary.ca/en/event/spanish-english-storytime-hora-de-cuentos-biling%C3%BCe-en-espa%C3%B1ol-e-ingl%C3%A9s-13,Spanish-English Storytime,Saturday,17-Jan-26,14-Mar-26,10:30,Nepean Centrepointe,101 Centrepointe,West - Nepean,Bilingual,Family,Family storytime
