Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/docu-dimanche-sunday-documentary,Docu-dimanche | Sunday Documentary,Sunday,4-May-25,4-May-25,14:00,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,"Adult, Adults 50-plus, Teen","Culture and Communities, Film and Movie Showing"
https://booking.biblioottawalibrary.ca/en/event/family-storytime-contes-en-famille-244,Family Storytime,Monday,5-May-25,23-Jun-25,9:30,Rockcliffe Park,380 Springfield,East - Vanier,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/toddlertime-march-may,Toddlertime (March-May),Monday,5-May-25,12-May-25,10:00,Cumberland,1599 Tenth Line,East - Orleans,English,"Child, Preschool, Toddler",Toddlertime
https://booking.biblioottawalibrary.ca/en/event/employment-support-1,Employment Support,Monday,5-May-25,29-Dec-25,10:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Newcomers",Jobs and careers
https://booking.biblioottawalibrary.ca/en/event/morning-fun-and-games-adults-une-matin%C3%A9e-de-jeux-et-de-plaisir-pour-adultes,A Morning of Fun and Games for Adults! Une matinée de jeux et de plaisir pour adultes!,Monday,5-May-25,30-Jun-25,10:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/family-storytime-monday-and-wednesday,Family Storytime - Monday and Wednesday,Monday,5-May-25,4-Jun-25,10:15,Sunnyside,1049 Bank,South - Alta Vista,English,"Family, Preschool, Toddler",Storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-692,Family Storytime,Monday,5-May-25,12-May-25,10:30,Greely,1448 Meadow Drive,South - Greely,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-672,Family Storytime,Monday,5-May-25,15-Dec-25,10:30,St-Laurent,515 Côté,East - Vanier,English,Child,Family storytime
https://booking.biblioottawalibrary.ca/en/event/toddlertime-drop-activity,Toddlertime & Drop-In Activity,Monday,5-May-25,23-Jun-25,10:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Toddler,Toddlertime
https://booking.biblioottawalibrary.ca/en/event/babytime-b%C3%A9b%C3%A9s-%C3%A0-la-biblio-256,Babytime | Bébés à la biblio,Monday,5-May-25,12-May-25,10:30,Main,120 Metcalfe,Central,Bilingual,Baby,Babytime
https://booking.biblioottawalibrary.ca/en/event/monday-morning-family-storytime-stay-and-play-0,Monday Morning Family Storytime & Stay and Play,Monday,5-May-25,12-May-25,10:30,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-687,Family storytime,Monday,5-May-25,12-May-25,10:30,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,"Family, Preschool",Family storytime
https://booking.biblioottawalibrary.ca/en/event/babytime-289,Babytime,Monday,5-May-25,12-May-25,11:30,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,Baby,Babytime
https://booking.biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-french-conversation-group-40,Groupe de conversation en français,Monday,5-May-25,30-Jun-25,12:30,Main,120 Metcalfe,Central,Français,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/english-conversation-groups-groupes-de-conversation-en-anglais-0,English Conversation Groups | Groupes de conversation en anglais,Monday,5-May-25,24-Jun-25,13:00,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/crafternoon-36,Crafternoon,Monday,5-May-25,16-Jun-25,13:00,Rockcliffe Park,380 Springfield,East - Vanier,Bilingual,Adults 50-plus,Arts and Crafts
https://booking.biblioottawalibrary.ca/en/event/homeschool-happenings-mon-%C3%A9cole-maison-%C3%A0-la-biblio-1,Homeschool Happenings,Monday,5-May-25,2-Jun-25,13:00,Sunnyside,1049 Bank,South - Alta Vista,Bilingual,"Child, Family",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/afternoon-fun-and-games-adults-une-apr%C3%A8s-midi-de-jeux-et-de-plaisir-pour-adultes,An Afternoon of Fun and Games for Adults! Une après-midi de jeux et de plaisir pour adultes!,Monday,5-May-25,30-Jun-25,13:30,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/genealogy-drop-carlingwood%E2%80%8B-library,Genealogy Drop-in at the Carlingwood​ Library,Monday,5-May-25,5-May-25,13:30,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus",History and Genealogy
https://booking.biblioottawalibrary.ca/en/event/english-conversation-groupgroupe-de-conversation-en-anglais-1,English Conversation group,Monday,5-May-25,30-Jun-25,13:30,Cumberland,1599 Tenth Line,East - Orleans,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/english-conversation-groupgroupe-de-conversation-en-anglais-1,English Conversation group,Monday,5-May-25,30-Jun-25,13:30,Cumberland,1599 Tenth Line,East - Orleans,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/mon-%C3%A9cole-maison-%C3%A0-la-biblio%E2%80%8B-homeschool-happenings,Mon école-maison à la biblio​,Monday,5-May-25,5-May-25,13:30,North Gloucester,2036 Ogilvie,East - Vanier,Bilingual,"Child, Family","Arts and Crafts, Games and Gaming, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/libby-cantook-and-cloudlibrary-e-book-clinic,"Libby, Cantook and CloudLibrary E-book Clinic",Monday,5-May-25,26-May-25,14:00,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,"Adult, Adults 50-plus, Newcomers",Computers and technology
https://booking.biblioottawalibrary.ca/en/event/babytime-292,Babytime,Monday,5-May-25,12-May-25,14:00,Greely,1448 Meadow Drive,South - Greely,English,Baby,Babytime
https://booking.biblioottawalibrary.ca/en/event/toddlertime-tout-petits-%C3%A0-la-biblio-25,Toddlertime,Monday,5-May-25,12-May-25,14:30,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Bilingual,Toddler,Toddlertime
https://booking.biblioottawalibrary.ca/en/event/chatty-caf%C3%A9,Chatty Café,Monday,5-May-25,26-May-25,14:30,Rosemount,18 Rosemount,West - Nepean,English,"Adult, Adults 50-plus","Culture and Communities, Hobbies and Interests, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/bh-technology-question-answer-sessions-0,BH Technology - Question & Answer Sessions,Monday,5-May-25,26-May-25,15:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Adult, Adults 50-plus",Computers and technology
https://booking.biblioottawalibrary.ca/en/event/stay-play-jouons-%C3%A0-la-biblio-24,Stay & Play,Monday,5-May-25,12-May-25,15:00,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Bilingual,Toddler,Toddlertime
https://booking.biblioottawalibrary.ca/en/event/youth-scrabble-ages-10,Youth Scrabble (ages 10+),Monday,5-May-25,26-May-25,16:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Child, Teen",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/reading-buddies-april-may-session,Reading Buddies (April-May session),Monday,5-May-25,12-May-25,17:15,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Child,"Homework and Reading Support, Kids"
https://booking.biblioottawalibrary.ca/en/event/family-game-night%C2%A0,Family Game Night,Monday,5-May-25,5-May-25,17:30,Beaverbrook,2500 Campeau,West - Kanata,English,"Child, Family",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/introduction-dungeons-and-dragons-adults,Introduction to Dungeons and Dragons for adults,Monday,5-May-25,16-Jun-25,17:30,Carlingwood,281 Woodroffe,West - Nepean,English,Adult,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/groupe-de-conversation-en-anglais-de-blackburn-hamlet-blackburn-hamlet-english-conversation-1,Groupe de conversation en anglais de Blackburn Hamlet,Monday,5-May-25,26-May-25,18:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Adult, Newcomers",Language learning
