Latitude,Longitude,OBJECTID,PARK_ID,FACILITYID,Name,Address,Washroom,Picnic Table,Zip Line,Baby Swing,Water Play,Water Fountain,Fenced area,Accessibility,Base,Parking,Note
45.3201897,-75.8926452,13,112,31154,Billy Bishop Park,1 Bishops Mills Way,No,No,No,No,Splash Pad,No,No,None,Sand,Yes,Street parking. Park is two blocks away from the library which has a parking lot and indoor washrooms.
45.3860957,-75.7297448,751,467,56867,Harrold Place Park,1 Harrold Place,Yes - Permanent,Yes - Covered,No,Yes,Splash Pad,No,Yes,TBD,TBD,TBD,
45.3983982,-75.6928992,338,373,31478,Capital Park,10 Ella Street,No,Yes - Not Covered,No,Yes,None,No,No,None,Sand,TBD,"A decent sized field for playing field games. Large spider web climbing structure, tire swing and a huge seesaw. Partially shaded park most of the day."
45.3423197,-75.7410319,1604,754,31858,Oakview Park,10 Oakview Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2601701,-75.9267328,32,1160,32265,Alexander Grove Park,10 Warner Colpitts Lane,Yes - Seasonal,No,No,Yes,None,No,Yes,None,Sand,Yes,Near walking trail
45.2812595,-75.8724245,920,2469,34658,Kristina Kiss Park,100 Akerson Road,Yes - Seasonal,Yes - Covered,No,Yes,Splash Pad,No,No,TBD,TBD,Yes,
45.4528172,-75.662437,1329,132,31175,Manor Park,100 Braemar Street,TBD,TBD,TBD,Yes,Splash Pad,TBD,Yes,TBD,TBD,TBD,
45.3869773,-75.6889644,120,134,31180,Brewer Park,100 Brewer Way,Yes - Seasonal,Yes - Covered,Yes,Yes,Splash Pad,Yes - Seasonal,No,Accessible swing,Multiple,Yes,
45.294492,-75.9038763,703,1157,32264,Walter Baker Park,100 Charlie Rogers Place,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.4696753,-76.2053169,23,2458,32248,Egbert Reitsma Parkette,100 Clifford Campbell Street,Yes - Permanent,No,No,Yes,None,No,No,Accessible swing,Mulch,Yes,
45.2778858,-75.7662326,1368,383,31498,Mowat Farm Park,100 Fable Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2769313,-75.7122657,956,1652,32481,Grovehurst Park,100 Grovehurst Drive,TBD,TBD,TBD,TBD,TBD,TBD,No,TBD,TBD,TBD,
45.3241827,-75.583471,683,2625,57551,Bert Dowler Park,100 Highgarden Terrace,TBD,Yes - Covered,No,Yes,Splash Pad,No,No,Accessible swing,Sand,Yes,
45.352483,-75.6968546,1643,609,31733,Geoff Wightman Park,100 Kamloops Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
