Latitude,Longitude,OBJECTID,PARK_ID,FACILITYID,Name,Address,Area,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Washroom,Accessible
45.403319,-75.6826392,52,51,26122,Sylvia Holden (Lansdowne),10 Fifth Ave.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,Yes
45.3668725,-75.6762606,32,466,3559,Pauline Vanier Park,1015 Harkness Ave.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3993526,-75.711495,14,92,3524,Ev Tremblay Park,108 Beech St.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3505384,-75.7958632,57,459,3529,Ruth Wildgen Park,1099 Grenon Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.369672,-75.6189712,33,120,3522,Elizabeth Manley Park,1161 Blohm Dr.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,Yes
45.4074883,-75.6728574,20,249,3513,Brantwood Park,120 Clegg St.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3779959,-75.7246229,15,1113,3550,Meadowvale Terrace Park,1205 Trenton Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3596019,-75.7536108,28,7,3501,Agincourt Park,1269 Albany Dr.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3600512,-75.6470578,47,808,3561,Pushman Park,1270 Pebble Rd.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3832847,-75.6664373,16,880,3504,Alta Vista Park,1309 Randall Ave.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4174251,-75.6453744,17,48,3518,Cecil Morrison Park,1332 Avenue N.,East - Vanier,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.404329,-75.7449789,13,170,3519,Champlain Park,140 Carleton Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Yes,No
45.4336512,-75.695716,3,208,3511,Bingham Park,145 Cathcart St,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3765509,-75.7404221,12,584,3509,Raven Park,1500 Larose Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Yes,No
45.3724525,-75.7391157,38,161,3510,Carlington Park,1520 Caldwell Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4207922,-75.6681165,6,660,3521,Dutchie's Hole Park,154 Mann Ave.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4053263,-75.6433212,19,328,3507,Balena Park,1640 Devon St.,East - Vanier,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4151375,-75.686977,56,415,3568,St. Luke's Park,166 Frank St.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3597725,-75.7027076,30,31,3517,Carleton Heights Park,1665 Apeldoorn Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3754113,-75.7725695,9,621,3575,Woodroffe Park,180 Lockhart Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4025097,-75.6267897,21,1046,3502,Alda Burt Park,1816 St Laurent Blvd.,East - Vanier,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3688774,-75.657084,55,260,3563,Ridgemont Park,1990 Cochrane St.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.394144,-75.6756953,49,1186,3574,Windsor Park,1B Windsor Ave.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,Yes
45.3651362,-75.7624074,29,102,3539,Kingsmere Park,2074 Benjamin Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3936961,-75.6159132,41,1090,3532,Hawthorne Park,2139 Tawney Rd.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3572686,-75.7624934,53,104,3508,Bel Air Park,2149 Berwick Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3547196,-75.6639726,31,130,3556,Owl Park,215 Owl Dr.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,Yes
45.3903165,-75.6288282,39,37,3516,Canterbury Complex,2185 Arch St.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.392435,-75.7424785,42,519,3535,Iona Park,223 Iona St.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4258166,-75.6713142,5,881,26063,Strathcona Park,25 Range Rd.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4227935,-75.6772578,4,1010,3564,Sandy Hill Park,250 Somerset St. E.,Central,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.3606482,-75.7993549,24,182,3515,Britannia Park,2844 Ahearn Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.393975,-75.752236,10,376,3544,Lions Park,294 Elmgrove Ave.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.354627,-75.8020142,45,711,3551,Marlene Catterall,2955 Michèle Dr.,West - Nepean,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4254727,-75.656847,46,873,3555,Overbrook Park,33 Quill St.,East - Vanier,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.4514844,-75.6510213,54,244,3505,Alvin Heights Park,349 Claremont Dr.,East - Vanier,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,No
45.363304,-75.6354695,50,160,26100,Greenboro Park,363 Lorry Greenberg Dr.,South,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,Closed for the season,TBD,Yes
