Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://biblioottawalibrary.ca/en/event/family-storytime-contes-en-famille-236,Family Storytime,Monday,3-Mar-25,10-Mar-25,9:30am,Rockcliffe Park,380 Springfield,East - Vanier,English,Family,Family storytime
https://biblioottawalibrary.ca/en/event/employment-support-1,Employment Support,Monday,3-Mar-25,26-May-25,10:00am,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Newcomers",Jobs and careers
https://biblioottawalibrary.ca/en/event/morning-fun-and-games-adults-une-matin%C3%A9e-de-jeux-et-de-plaisir-pour-adultes,A Morning of Fun and Games for Adults! Une matinée de jeux et de plaisir pour adultes!,Monday,3-Mar-25,31-Mar-25,10:00am,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/family-storytime-672,Family Storytime,Monday,3-Mar-25,15-Dec-25,10:30am,St-Laurent,515 Côté,East - Vanier,English,Child,Family storytime
https://biblioottawalibrary.ca/en/event/coffee-and-cards-2,Coffee and Cards,Monday,3-Mar-25,28-Apr-25,12:00pm,Osgoode,5630 Osgoode Main,South - Osgoode,English,Adult,"Games and Gaming, Hobbies and Interests, Social Connections"
https://biblioottawalibrary.ca/en/event/english-conversation-groups-groupes-de-conversation-en-anglais-0,English Conversation Groups | Groupes de conversation en anglais,Monday,3-Mar-25,24-Jun-25,1:00pm,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Language learning
https://biblioottawalibrary.ca/en/event/crafternoon-36,Crafternoon,Monday,3-Mar-25,16-Jun-25,1:00pm,Rockcliffe Park,380 Springfield,East - Vanier,Bilingual,Adults 50-plus,Arts and Crafts
https://biblioottawalibrary.ca/en/event/afternoon-fun-and-games-adults-une-apr%C3%A8s-midi-de-jeux-et-de-plaisir-pour-adultes,An Afternoon of Fun and Games for Adults! Une après-midi de jeux et de plaisir pour adultes!,Monday,3-Mar-25,30-Jun-25,1:30pm,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/earlyon-baby-playgroup-library,EarlyON Baby Playgroup @ the Library,Monday,3-Mar-25,30-Jun-25,1:30pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Baby,Babytime
https://biblioottawalibrary.ca/en/event/english-conversation-groupgroupe-de-conversation-en-anglais-1,English Conversation group,Monday,3-Mar-25,30-Jun-25,1:30pm,Cumberland,1599 Tenth Line,East - Orleans,English,Adult,Language learning
