Sort Order,Day,Time,Facility Name,Address,Activity Type,Registration Required,URL,Reservation,Area,Category,Age,Time of day
2,Tuesday,18:15 - 19:15,Lansdowne Park,1525 Princess Patricia,Rollerskating,Yes,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/lansdowne-park,https://reservation.frontdesksuite.ca/rcfs/lansdowne/Home/Index?Culture=en&PageId=6235e409-0836-4e6c-b047-718bd7f0e373,Central,Gym Sport,Adult,Evening
2,Tuesday,19:20 - 20:20,Lansdowne Park,1525 Princess Patricia,Rollerskating,Yes,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/lansdowne-park,https://reservation.frontdesksuite.ca/rcfs/lansdowne/Home/Index?Culture=en&PageId=6235e409-0836-4e6c-b047-718bd7f0e373,Central,Gym Sport,Adult,Evening
3,Wednesday,10:30 - 12:15,Churchill Seniors Centre,345 Richmond Road,Ukelele,Yes,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/churchill-seniors-centre,#,West - Nepean,Other,50+,"AM, PM"
3,Wednesday,12:45 - 14:45,Churchill Seniors Centre,345 Richmond Road,Mah Jong,Yes,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/churchill-seniors-centre,#,West - Nepean,Other,50+,PM
1,Monday,09:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Art studio,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,"AM, PM"
5,Friday,09:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Art studio,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,"AM, PM"
1,Monday,13:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Walking club,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
2,Tuesday,14:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Walking club,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
3,Wednesday,15:00 - 16:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Walking club,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
4,Thursday,12:00 - 14:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Walking club,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
5,Friday,12:00 - 14:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Walking club,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
1,Monday,13:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Cribbage,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
2,Tuesday,12:30 - 15:30,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Bridge,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
4,Thursday,12:30 - 15:30,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Bridge,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
3,Wednesday,10:00 - 11:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Tea and chat,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,AM
3,Wednesday,13:00 - 15:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Euchre,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,PM
3,Wednesday,11:00 - 12:00,Carleton Heights Community Centre,1665 Apeldoorn Avenue,Trivia,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/carleton-heights-community-centre,#,South,Other,50+,AM
