School Name,School Type,Category,Address,Longitude,Latitude,Phone Number,Website,Board,Start of class,End of class,Language
A. Lorne Cassidy Elementary School,Public,Elementary,27 rue Hobin St,45.2621284,-75.9333989,(613) 831-3434,https://alornecassidyes.ocdsb.ca/,Ottawa-Carleton District School Board,9:15,3:45,
A.Y. Jackson Secondary School,Public,Secondary,150 prom. Abbeyhill Dr,45.29454265,-75.87863728,(613) 836-2527,https://ayjacksonss.ocdsb.ca/,Ottawa-Carleton District School Board,9:15,3:20,
Abraar School,Private,Elementary,70 rue Fieldrow St,45.343764,-75.73976026,(613) 226-1396,http://www.abraarschool.com/,N/A,,,
Abraar Secondary School,Private,Secondary,1085 ave. Grenon Ave,45.35171755,-75.7946131,(613) 820-0044,http://www.abraarschool.com/,N/A,,,
Acadecap International School,Private,Elementary,"1010 prom. Morrison Dr, Suite 200",45.3467502,-75.79079988,(613) 721-3872,https://www.acadecap.org/,N/A,,,
Adrienne Clarkson Public School,Public,Elementary,170 prom. Stoneway Dr.,45.2881526,-75.71746141,(613) 825-8600,https://adrienneclarksones.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Adult High School,Public,Secondary,300 rue Rochester St,45.40422275,-75.70992889,(613) 239-2707,https://adulths.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Agincourt Road Public School,Public,Elementary,1250 ch. Agincourt Rd,45.36092535,-75.75269387,(613) 225-2750,https://agincourtps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Ahlul-Bayt Islamic School,Private,Elementary,200 rue Baribeau Street,45.438324,-75.6674002,(613) 526-0774,https://abischool.com/,N/A,,,
Al-Furqan Islamic School,Private,Elementary,2825 av. Dumaurier Ave,45.3511415,-75.79453802,(613) 680-7261,https://schools.macnet.ca/ottawaalfurqan/,N/A,,,
Alain-Fortin Catholic Elementary School,Public,Elementary,676 prom. Lakeridge Dr,45.44778885,-75.47372356,(613) 749-7454,https://alain-fortin.ecolecatholique.ca/,Conseil des écoles catholiques du Centre-Est,,,French
All Saints High School,Public,Secondary,5115 av. Kanata Ave,45.32122635,-75.924358,(613) 271-4254,https://ash.ocsb.ca/,Ottawa Catholic School Board,,,
