Day,Time,Facility Name,Address,Area,Activity Type,URL
Monday,14:00 - 14:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Thursday,10:00 - 10:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Friday,19:30 - 20:20,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Sunday,13:00 - 13:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Sunday,14:00 - 14:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Wednesday,14:00 - 14:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating - 50+ ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Friday,20:30 - 21:20,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Figure skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Monday,13:00 - 13:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Monday,14:00 - 14:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Wednesday,11:00 - 11:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Saturday,16:00 - 16:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Sunday,13:00 - 13:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Sunday,14:00 - 14:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Wednesday,10:00 - 10:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Public skating - 50+ ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Saturday,17:00 - 17:50,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,To be completed,Figure skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
Monday,12:30 - 13:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Wednesday,12:30 - 13:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Friday,12:30 - 13:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Saturday,17:00 - 17:50,Canterbury Recreation Complex,2185 Arch Street,To be completed,Public skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Saturday,16:00 - 16:50,Canterbury Recreation Complex,2185 Arch Street,To be completed,Family skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Monday,11:30 - 12:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Adult skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Wednesday,11:30 - 12:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Adult skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Friday,11:30 - 12:20,Canterbury Recreation Complex,2185 Arch Street,To be completed,Adult skating ,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
Monday,10:00 - 10:50,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,50+ skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Thursday,10:15 - 11:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,50+ skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Thursday,11:15 - 12:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Adult skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Monday,11:00 - 11:50,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Family skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Wednesday,16:15 - 17:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Family skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Thursday,13:15 - 14:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Family skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Friday,18:15 - 19:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Family skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Saturday,14:15 - 15:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Family skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Wednesday,17:15 - 18:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Public skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Friday,19:15 - 20:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Public skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Saturday,15:15 - 16:05,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,To be completed,Public skate,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
Tuesday,16:00 - 16:50,Fred Barrett Arena,3280 Leitrim Road,To be completed,Public skating,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/fred-barrett-arena
