Sort Order,Day of week,Time of day,Pool Name,Address,Area,Swim Type,Reservation Required?,URL
1,Monday,06:00 - 08:00,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Lane Swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
1,Monday,06:00 - 09:00,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,East - Orleans,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
1,Monday,06:15 - 08:30,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Reduced Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
1,Monday,06:30 - 08:30,Splash Wave Pool,2040 Ogilvie Road,East,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
1,Monday,06:30 - 14:00,Champagne Fitness Centre,321 King Edward Avenue,Central,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/champagne-fitness-centre
1,Monday,07:00 - 08:00,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Lane swim - 25m pool,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
1,Monday,07:00 - 08:00,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,East - Orleans,Aqua general (therapeutic pool only),No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
1,Monday,07:00 - 09:00,Canterbury Recreation Complex,2185 Arch Street,South,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
1,Monday,07:00 - 09:00,Plant Recreation Centre,930 Somerset Street West,Central,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
1,Monday,07:00 - 10:00,St. Laurent Complex,525 Côté Street,East - Vanier,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/st-laurent-complex
1,Monday,07:30 - 08:30,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
1,Monday,07:30 - 08:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,07:30 - 08:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Aquafit general - shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
1,Monday,07:30 - 08:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
1,Monday,07:30 - 08:30,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,West - Stittsville,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
1,Monday,07:30 - 11:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Half lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
1,Monday,07:30 - 14:00,Brewer Pool,100 Brewer Way,South,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/brewer-pool-and-arena
1,Monday,07:30 - 14:00,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Hot tub and steam room,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
